"barcode1","article-no","clolor","size","week 1","week 2","week 3","week 4","week 5","week 6","week 7","week 8","week 9","week 10","week 11","week 12","week 13","week 14","week 15","week 16","week 17","week 18","week 19","week 20"
"1000794701229","CK2-50150077","Black","Large","101.0","114.0","93.0","79.0","55.0","41.0","31.0","33.0","25.0","11.0","15.0","7.0","0","0","0","0","0","0","0","7.0"
"1000794713222","CK2-50150077","Pink","Large","68.0","95.0","72.0","61.0","55.0","85.0","59.0","71.0","53.0","36.0","15.0","9.0","7.0","5.0","4.0","0","1.0","0","0","8.0"
"1000794714229","CK2-50150077","Taupe","Large","68.0","89.0","90.0","67.0","46.0","53.0","40.0","22.0","10.0","5.0","7.0","0","0","0","0","0","0","0","0","8.0"
"1000794910218","CK2-50150078","Navy","Medium","18.0","20.0","30.0","26.0","23.0","24.0","18.0","17.0","16.0","7.0","15.0","7.0","10.0","4.0","6.0","5.0","2.0","0","2.0","2.0"
"1000794916210","CK2-50150078","Maroon","Medium","41.0","48.0","48.0","47.0","35.0","33.0","21.0","26.0","22.0","28.0","33.0","17.0","7.0","18.0","4.0","6.0","2.0","1.0","3.0","1.0"
"1000794935211","CK2-50150078","Nude","Medium","30.0","38.0","41.0","27.0","34.0","34.0","23.0","17.0","18.0","28.0","20.0","26.0","24.0","31.0","22.0","16.0","10.0","8.0","3.0","5.0"
"1000798301210","CK2-70150079","Black","Medium","77.0","97.0","72.0","37.0","5.0","3.0","2.0","1.0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000798306215","CK2-70150079","Blue","Medium","99.0","34.0","18.0","1.0","0","0","1.0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000798300213","CK2-70150079","Tan","Medium","63.0","84.0","79.0","48.0","28.0","23.0","15.0","6.0","0","3.0","1.0","0","0","0","0","0","0","0","0","0"
"1000798501214","CK2-70150080","Black","Medium","229.0","329.0","205.0","26.0","1.0","0.0","0.0","1.0","0","0","0","0","0","0","0","0","0","0","0","193.0"
"1000798506219","CK2-70150080","Blue","Medium","92.0","160.0","120.0","101.0","87.0","86.0","27.0","5.0","0.0","0","0","1.0","0","0","0","0","0","0","0","0"
"1000798505212","CK2-70150080","Beige","Medium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.0"
"1000798513217","CK2-70150080","Pink","Medium","171.0","260.0","237.0","144.0","55.0","25.0","3.0","1.0","0","0","0","0","0","0","0","0","0","0","0","162.0"
"1000795101219","CK2-50150081","Black","Medium","15.0","11.0","17.0","8.0","9.0","14.0","15.0","12.0","22.0","20.0","14.0","12.0","28.0","28.0","25.0","24.0","27.0","17.0","19.0","18.0"
"1000795122214","CK2-50150081","Camel","Medium","30.0","21.0","33.0","27.0","21.0","28.0","41.0","36.0","32.0","29.0","47.0","18.0","21.0","2.0","3.0","2.0","4.0","2.0","0","0"
"1000795109215","CK2-50150081","Cream","Medium","8.0","13.0","16.0","12.0","8.0","11.0","33.0","24.0","14.0","13.0","30.0","21.0","28.0","31.0","37.0","29.0","32.0","31.0","25.0","31.0"
"1000792701221","CK2-30150082","Black","Large","16.0","29.0","20.0","28.0","19.0","18.0","21.0","7.0","14.0","23.0","13.0","21.0","8.0","4.0","20.0","34.0","35.0","27.0","27.0","7.0"
"1000792700224","CK2-30150082","Tan","Large","23.0","17.0","20.0","32.0","22.0","23.0","17.0","14.0","11.0","14.0","9.0","20.0","9.0","12.0","17.0","32.0","23.0","50.0","47.0","16.0"
